Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification,ID
Belgium,Europe,809861,6987.81,16459,142.01,0,22545,194.53,133,1.15,0,Community transmission,20
Belize,Americas,12383,3114.22,48,12.07,13,316,79.47,1,0.25,0,Community transmission,21
Benin,Africa,6501,53.62,163,1.34,0,81,0.67,0,0,0,Community transmission,22
Bermuda,Americas,740,1188.32,16,25.69,5,12,19.27,0,0,0,Sporadic cases,23
Bhutan,South-East Asia,868,112.49,0,0,0,1,0.13,0,0,0,Sporadic cases,24
Bolivia (Plurinational State of),Americas,260059,2227.86,5323,45.6,670,11974,102.58,129,1.11,16,Community transmission,25
Bonaire,Americas,778,3719.82,240,1147.5,41,6,28.69,1,4.78,0,Community transmission,26
Bosnia and Herzegovina,Europe,144831,4414.48,7540,229.82,582,5584,170.2,287,8.75,63,Community transmission,27
Botswana,Africa,34098,1449.97,2440,103.76,0,424,18.03,65,2.76,0,Community transmission,28
Brazil,Americas,11519609,5419.48,467944,220.15,36239,279286,131.39,12888,6.06,1057,Community transmission,29
British Virgin Islands,Americas,154,509.31,0,0,0,1,3.31,0,0,0,Clusters of cases,30
Brunei Darussalam,Western Pacific,202,46.17,11,2.51,3,3,0.69,0,0,0,Sporadic cases,31
Bulgaria,Europe,283194,4075.65,19891,286.27,4637,11472,165.1,708,10.19,187,Clusters of cases,32
Burkina Faso,Africa,12378,59.22,197,0.94,6,144,0.69,1,0,0,Community transmission,33
Burundi,Africa,2461,20.7,122,1.03,0,3,0.03,0,0,0,Community transmission,34
Cabo Verde,Africa,16120,2899.35,314,56.48,85,156,28.06,2,0.36,0,Community transmission,35
Cambodia,Western Pacific,1430,8.55,306,1.83,0,1,0.01,1,0.01,0,Sporadic cases,36
Cameroon,Africa,38988,146.87,0,0,0,588,2.22,0,0,0,Community transmission,37
Canada,Americas,913047,2419.17,22349,59.21,3890,22495,59.6,219,0.58,32,Community transmission,38
Cayman Islands,Americas,474,721.24,23,35,6,2,3.04,0,0,0,Sporadic cases,39
Central African Republic,Africa,5025,104.04,4,0.08,4,63,1.3,0,0,0,Community transmission,40
Chad,Africa,4328,26.35,135,0.82,19,155,0.94,13,0.08,1,Community transmission,41
Chile,Americas,900782,4712.14,36718,192.08,4551,21789,113.98,607,3.18,17,Community transmission,42
China,Western Pacific,102433,6.96,281,0.02,22,4849,0.33,1,0,0,Clusters of cases,43
Colombia,Americas,2305884,4531.75,27023,53.11,2740,61243,120.36,645,1.27,100,Community transmission,44
